OBJECTID,Zoning_ID,Category,Subcategory,Use_Type,Use_Status,Density,Unit,Notes
6935,TCAP_OS,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
6936,TCAP_OS,Resource Management,Vegetation Protection,Prescribed Fire/Burning Management,Allowed,,NA,NA
6937,TCAP_OS,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
6938,TCAP_OS,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
6939,TCAP_OS,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
6940,TCAP_OS,Resource Management,Open Space,Allowed in all Areas of the Region,Allowed,,NA,NA
6941,TCAP_OS,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
6942,TCAP_OS,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
6943,TCAP_OS,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
6944,TCAP_REC_TOURIST,Residential,Residential,Raising Domestic Animals,Special Use,,NA,NA
6945,TCAP_REC_TOURIST,Residential,Residential,Employee Housing,Allowed,15,dwelling units per acre,NA
6946,TCAP_REC_TOURIST,Residential,Residential,Single Family Dwelling,Special Use,1,unit per acre,"2 units per parcel for parcels greater than or equal to one acre, provided one unit is an authorized secondary residence. Caretaker Residence Only"
6947,TCAP_REC_TOURIST,Commercial,Entertainment,Outdoor Amusements,Special Use,,NA,NA
6948,TCAP_REC_TOURIST,Commercial,Entertainment,Privately Owned Assembly and Entertainment,Special Use,,NA,NA
6949,TCAP_REC_TOURIST,Public Services,General,Local Public Health and Safety Facilities,Allowed,,NA,NA
6950,TCAP_REC_TOURIST,Public Services,General,Publicly Owned Assembly and Entertainment,Special Use,,NA,NA
6951,TCAP_REC_TOURIST,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Special Use,,NA,NA
6952,TCAP_REC_TOURIST,Public Services,Linear Public Facilities,Transportation Routes,Special Use,,NA,NA
6953,TCAP_REC_TOURIST,Public Services,Linear Public Facilities,Transit Stations and Terminals,Special Use,,NA,NA
6954,TCAP_REC_TOURIST,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Special Use,,NA,NA
6955,TCAP_REC_TOURIST,Recreation,Recreation,Cross Country Ski Courses,Special Use,,NA,NA
6956,TCAP_REC_TOURIST,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
6957,TCAP_REC_TOURIST,Recreation,Recreation,Riding and Hiking Trails,Special Use,,NA,NA
6958,TCAP_REC_TOURIST,Recreation,Recreation,Rural Sports,Special Use,,NA,NA
6959,TCAP_REC_TOURIST,Recreation,Recreation,Snowmobile Courses,Special Use,,NA,NA
6960,TCAP_REC_TOURIST,Recreation,Recreation,Group Facilities,Special Use,,NA,NA
6961,TCAP_REC_TOURIST,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
6962,TCAP_REC_TOURIST,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
6963,TCAP_REC_TOURIST,Resource Management,Timber Management,Regeneration Harvest,Allowed,,NA,NA
6964,TCAP_REC_TOURIST,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
6965,TCAP_REC_TOURIST,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
6966,TCAP_REC_TOURIST,Resource Management,Timber Management,Timber Stand Improvement,Allowed,,NA,NA
6967,TCAP_REC_TOURIST,Resource Management,Timber Management,Selection Cut,Allowed,,NA,NA
6968,TCAP_REC_TOURIST,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
6969,TCAP_REC_TOURIST,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
6970,TCAP_REC_TOURIST,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
6971,TCAP_REC_TOURIST,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
6972,TCAP_REC_TOURIST,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
6973,TCAP_REC_TOURIST,Resource Management,Range,Ranch Pasture Management,Allowed,,NA,NA
6974,TCAP_REC_TOURIST,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
6975,TCAP_REC_TOURIST,Resource Management,Vegetation Protection,Prescribed Fire/Burning Management,Allowed,,NA,NA
6976,TCAP_REC_TOURIST,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
6977,TCAP_REC_TOURIST,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
6978,TCAP_REC_TOURIST,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
6979,TCAP_REC_TOURIST,Resource Management,Open Space,Allowed in all Areas of the Region,Allowed,,NA,NA
6980,TCAP_REC_TOURIST,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
6981,TCAP_REC_TOURIST,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
6982,TCAP_REC_TOURIST,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
6983,TCAP_TSC_C,Residential,Residential,Employee Housing,Special Use,15,dwelling units per acre,NA
6985,TCAP_TSC_C,Residential,Residential,Multiple Family Dwelling,Allowed,25,dwelling units per acre,NA
6986,TCAP_TSC_C,Residential,Residential,Multi-Person Dwelling,Special Use,25,persons per acre,NA
6987,TCAP_TSC_C,Tourist Accommodation,Tourist Accommodation,"Hotel, Motel, and Other Transient Dwelling Units",Allowed,40,dwelling units per acre,NA
6984,TCAP_TSC_C,Residential,Residential,Single Family Dwelling,Allowed,1,unit per parcel,"2 units per parcel for parcels greater than or equal to one acre, provided one unit is an authorized secondary residence. Condominiums only."
6988,TCAP_TSC_C,Tourist Accommodation,Tourist Accommodation,Time Sharing (Hotel/Motel Design),Allowed,40,dwelling units per acre,NA
6989,TCAP_TSC_C,Tourist Accommodation,Tourist Accommodation,Time Sharing (Residential Design),Allowed,40,dwelling units per acre,NA
6990,TCAP_TSC_C,Commercial,Retail,General Merchandise Stores,Allowed,,NA,NA
6991,TCAP_TSC_C,Commercial,Retail,Building Materials and Hardware,Special Use,,NA,Outdoor storage and display is prohibited.
6992,TCAP_TSC_C,Commercial,Retail,Outdoor Retail Sales,Allowed,,NA,NA
6993,TCAP_TSC_C,Commercial,Retail,Eating and Drinking Places,Allowed,,NA,NA
6994,TCAP_TSC_C,Commercial,Retail,Service Stations,Special Use,,NA,NA
6995,TCAP_TSC_C,Commercial,Entertainment,Amusements and Recreation Services,Special Use,,NA,NA
6996,TCAP_TSC_C,Commercial,Entertainment,Privately Owned Assembly and Entertainment,Special Use,,NA,NA
6997,TCAP_TSC_C,Commercial,Services,Professional Offices,Allowed,,NA,"Allow Realty Offices within the district and limit financial services to ATMs. Allow consideration for placement of Realty Offices within the district, and only when operated in conjunction with approved Park Avenue Redevelopment fractional ownership tourist accommodation projects. Such use shall occupy no more than five percent (5%) of the commercial floor area with any project area within the district."
6998,TCAP_TSC_C,Commercial,Services,Business Support Services,Allowed,,NA,Shall not front on US Highway 50.
6999,TCAP_TSC_C,Commercial,Services,Schools - Business and Vocational,Special Use,,NA,NA
7000,TCAP_TSC_C,Commercial,Services,Health Care Services,Allowed,,NA,"All Health Care Services are allowed except emergency outpatient or urgent care facilities which shall only be considered along Heavenly Village Way, formerly Park Avenue. All Health Care Services uses permissible throughout special district; provided that any Health Care Services uses proposed to front on either side of US Highway 50 and/or the intersections of Heavenly Village Way (formerly Park Avenue) and Stateline Avenue are limited to second floor or higher. See TRPA Ordinance 2009-05 Exhibit 2 for specific limitation locations."
7001,TCAP_TSC_C,Commercial,Light Industrial,Small Scale Manufacturing,Special Use,,NA,NA
7002,TCAP_TSC_C,Commercial,Wholesale/Storage,Vehicle Storage and Parking,Special Use,,NA,NA
7003,TCAP_TSC_C,Public Services,General,Local Public Health and Safety Facilities,Allowed,,NA,NA
7004,TCAP_TSC_C,Public Services,General,Publicly Owned Assembly and Entertainment,Special Use,,NA,NA
7005,TCAP_TSC_C,Public Services,General,Cultural Facilities,Special Use,,NA,NA
7006,TCAP_TSC_C,Public Services,General,Day Care Centers/Pre-Schools,Allowed,,NA,NA
7007,TCAP_TSC_C,Public Services,General,Local Assembly and Entertainment,Special Use,,NA,NA
7008,TCAP_TSC_C,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Special Use,,NA,NA
7009,TCAP_TSC_C,Public Services,Linear Public Facilities,Transportation Routes,Special Use,,NA,NA
7010,TCAP_TSC_C,Public Services,Linear Public Facilities,Transit Stations and Terminals,Special Use,,NA,NA
7011,TCAP_TSC_C,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Special Use,,NA,NA
7044,TCAP_TSC_MU,Commercial,Retail,General Merchandise Stores,Allowed,,NA,NA
7045,TCAP_TSC_MU,Commercial,Retail,Eating and Drinking Places,Special Use,,NA,NA
7012,TCAP_TSC_C,Recreation,Recreation,Participant Sports Facilities,Special Use,,NA,"All Health Care Services are allowed except emergency outpatient or urgent care facilities which shall only be considered along Heavenly Village Way, formerly Park Avenue."
7013,TCAP_TSC_C,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
7014,TCAP_TSC_C,Recreation,Recreation,Visitor Information Centers,Special Use,,NA,NA
7015,TCAP_TSC_C,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
7016,TCAP_TSC_C,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
7017,TCAP_TSC_C,Resource Management,Timber Management,Regeneration Harvest,Allowed,,NA,NA
7018,TCAP_TSC_C,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
7019,TCAP_TSC_C,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
7020,TCAP_TSC_C,Resource Management,Timber Management,Timber Stand Improvement,Allowed,,NA,NA
7021,TCAP_TSC_C,Resource Management,Timber Management,Selection Cut,Allowed,,NA,NA
7022,TCAP_TSC_C,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
7023,TCAP_TSC_C,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
7024,TCAP_TSC_C,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
7025,TCAP_TSC_C,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
7026,TCAP_TSC_C,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
7027,TCAP_TSC_C,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
7028,TCAP_TSC_C,Resource Management,Vegetation Protection,Prescribed Fire/Burning Management,Allowed,,NA,NA
7029,TCAP_TSC_C,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
7030,TCAP_TSC_C,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
7031,TCAP_TSC_C,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
7032,TCAP_TSC_C,Resource Management,Open Space,Allowed in all Areas of the Region,Allowed,,NA,NA
7033,TCAP_TSC_C,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
7034,TCAP_TSC_C,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
7035,TCAP_TSC_C,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
7036,TCAP_TSC_MU,Residential,Residential,Employee Housing,Special Use,15,dwelling units per acre,NA
7037,TCAP_TSC_MU,Residential,Residential,Single Family Dwelling,Allowed,1,unit per parcel,"2 units per parcel for parcels greater than or equal to one acre, provided one unit is an authorized secondary residence."
7038,TCAP_TSC_MU,Residential,Residential,Multiple Family Dwelling,Allowed,25,dwelling units per acre,NA
7039,TCAP_TSC_MU,Residential,Residential,Multi-Person Dwelling,Special Use,25,persons per acre,NA
7040,TCAP_TSC_MU,Tourist Accommodation,Tourist Accommodation,Bed and Breakfast Facilities,Allowed,40,dwelling units per acre,NA
7041,TCAP_TSC_MU,Tourist Accommodation,Tourist Accommodation,"Hotel, Motel, and Other Transient Dwelling Units",Allowed,40,dwelling units per acre,NA
7042,TCAP_TSC_MU,Tourist Accommodation,Tourist Accommodation,Time Sharing (Hotel/Motel Design),Allowed,40,dwelling units per acre,NA
7043,TCAP_TSC_MU,Tourist Accommodation,Tourist Accommodation,Time Sharing (Residential Design),Allowed,40,dwelling units per acre,NA
7046,TCAP_TSC_MU,Commercial,Retail,Service Stations,Special Use,,NA,NA
7047,TCAP_TSC_MU,Commercial,Entertainment,Amusements and Recreation Services,Special Use,,NA,NA
7048,TCAP_TSC_MU,Commercial,Entertainment,Outdoor Amusements,Special Use,,NA,NA
7049,TCAP_TSC_MU,Commercial,Entertainment,Privately Owned Assembly and Entertainment,Special Use,,NA,NA
7050,TCAP_TSC_MU,Commercial,Services,Professional Offices,Allowed,,NA,NA
7051,TCAP_TSC_MU,Commercial,Services,Business Support Services,Special Use,,NA,NA
7052,TCAP_TSC_MU,Commercial,Light Industrial,Small Scale Manufacturing,Special Use,,NA,NA
7053,TCAP_TSC_MU,Commercial,Wholesale/Storage,Vehicle Storage and Parking,Special Use,,NA,NA
7054,TCAP_TSC_MU,Public Services,General,Local Public Health and Safety Facilities,Allowed,,NA,NA
7055,TCAP_TSC_MU,Public Services,General,Religious Assembly,Special Use,,NA,NA
7056,TCAP_TSC_MU,Public Services,General,Publicly Owned Assembly and Entertainment,Special Use,,NA,NA
7057,TCAP_TSC_MU,Public Services,General,Cultural Facilities,Special Use,,NA,NA
7058,TCAP_TSC_MU,Public Services,General,Public Utility Centers,Special Use,,NA,NA
7059,TCAP_TSC_MU,Public Services,General,Day Care Centers/Pre-Schools,Allowed,,NA,NA
7060,TCAP_TSC_MU,Public Services,General,Local Assembly and Entertainment,Special Use,,NA,NA
7061,TCAP_TSC_MU,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Special Use,,NA,NA
7062,TCAP_TSC_MU,Public Services,Linear Public Facilities,Transportation Routes,Special Use,,NA,NA
7063,TCAP_TSC_MU,Public Services,Linear Public Facilities,Transit Stations and Terminals,Special Use,,NA,NA
7064,TCAP_TSC_MU,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Special Use,,NA,NA
7065,TCAP_TSC_MU,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
7066,TCAP_TSC_MU,Recreation,Recreation,Visitor Information Centers,Special Use,,NA,NA
7067,TCAP_TSC_MU,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
7068,TCAP_TSC_MU,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
7069,TCAP_TSC_MU,Resource Management,Timber Management,Regeneration Harvest,Allowed,,NA,NA
7070,TCAP_TSC_MU,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
7071,TCAP_TSC_MU,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
7072,TCAP_TSC_MU,Resource Management,Timber Management,Timber Stand Improvement,Allowed,,NA,NA
7073,TCAP_TSC_MU,Resource Management,Timber Management,Selection Cut,Allowed,,NA,NA
7074,TCAP_TSC_MU,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
7075,TCAP_TSC_MU,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
7076,TCAP_TSC_MU,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
7077,TCAP_TSC_MU,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
7078,TCAP_TSC_MU,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
7079,TCAP_TSC_MU,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
